20
2
2
10000
[
[0, 0],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7]
]
[
[0, 0],
[37, 43.2],
[16.7, 17.4],
[47.2, 21.8],
[40, 11.8],
[28.8, 19.6],
[48.7, 22.1],
[28.4, 42.9],
[44, 26.2],
[17.1, 23.3],
[10.3, 19.4],
[10.1, 12.4],
[18.3, 42.7],
[24.7, 14.4],
[47, 22.3],
[32.5, 23.5],
[30.6, 34],
[49.3, 21.1],
[21.3, 13.8],
[22, 15]
]
[0, 11.9, 10.9, 11, 18.8, 14.5, 10.3, 19.6, 14.7, 12.1, 19.1, 10.9, 18.9, 17.4, 17.4, 11.6, 10.7, 14.4, 15.5, 11.4]
[0, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]
[0, 872, 1160.6, 791.5, 435.1, 719.7, 541.4, 846.2, 673.1, 1058.4, 796.1, 879.2, 715, 589.3, 598.4, 619.2, 1014.4, 705.6, 1100.2, 1010.1]
[
[0, 0],
[57.3, 78.2],
[74.3, 57.6],
[43.5, 54.2],
[49.5, 50.8],
[65.3, 49.6],
[51.6, 51.6],
[70.6, 41.4],
[72.2, 50.7],
[49.2, 56.3],
[62.6, 73],
[62, 71.5],
[77.2, 79.7],
[51.9, 61.6],
[75, 48.9],
[47.8, 78.1],
[73.3, 79.4],
[42.9, 43.6],
[64.2, 56.9],
[41.1, 59]
]
[
[0, 0],
[76, 69.1],
[53.9, 62.2],
[52.1, 67.3],
[73.9, 53],
[56.1, 77],
[54.6, 55.3],
[63.9, 73],
[63.6, 40.5],
[49.9, 60.4],
[45.1, 62.4],
[79.8, 57.7],
[79.4, 65.4],
[57.3, 53.1],
[70.6, 50.8],
[61.4, 41.1],
[40.2, 51.7],
[42.1, 56.4],
[73.7, 66.6],
[48.7, 54.7]
]
[
[1, 0],
[0, 1]
]
