qViagens = 40;
qPontosCarga = 2;
qBetoneiras = 2;
M = 10000;
dp = [
[0, 0],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7]
];
dv = [
[0, 0],
[41.6, 44],
[39.8, 23.1],
[38.6, 13.9],
[35.7, 10.2],
[49.2, 40.2],
[34.8, 26.1],
[49.2, 16.5],
[17.6, 32.6],
[16.8, 13.5],
[41.7, 24.9],
[45.8, 42.9],
[37.7, 11.7],
[46.1, 39.1],
[27.6, 21.4],
[48.9, 33],
[10.3, 48.8],
[15.9, 29.3],
[29.1, 37.4],
[10.3, 45.5],
[22.2, 11.6],
[44, 28.6],
[41.5, 21],
[26.6, 34.1],
[47, 41.8],
[49.8, 26.2],
[35.1, 46.6],
[10.3, 49.8],
[14.8, 48.6],
[16.4, 38],
[27, 49.5],
[36.4, 24.3],
[11.3, 26.2],
[39.9, 36],
[20.3, 29.9],
[37.5, 30.1],
[32.3, 21.3],
[41.3, 40.1],
[30.9, 27.2],
[11.4, 26.7]
];
td = [
0, 10.2, 17.9, 18.5, 17.4, 13.3, 17.1, 11, 16.4, 10, 19.8, 17.6, 16.2, 14, 19.8, 11.6, 11.9, 15.6, 11.7, 10.9, 17.9, 13.7, 19, 18.2, 16.9, 10.4, 19, 17.3, 14.4, 12.9, 19.7, 15.8, 10.1, 19.7, 11.5, 14.8, 14.8, 16.9, 10.1, 18.9];
tmaxvc = [
0, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120];
hs = [
0, 373.2, 1023, 1075, 984.9, 634.6, 959.9, 442.4, 899.7, 363.4, 1183.5, 994.5, 880, 698.4, 1183.2, 497.3, 518.8, 833.6, 503.5, 433.4, 1026, 672, 1112.2, 1051.7, 941.3, 396.3, 1118.1, 970.9, 729, 599.6, 1176.9, 843.6, 365.5, 1174.1, 483.1, 765.5, 760.4, 936, 365.4, 1106.4];
f = [
[0, 0],
[111.6, 114],
[109.8, 93.1],
[108.6, 83.9],
[105.7, 80.2],
[119.2, 110.2],
[104.8, 96.1],
[119.2, 86.5],
[87.6, 102.6],
[86.8, 83.5],
[111.7, 94.9],
[115.8, 112.9],
[107.7, 81.7],
[116.1, 109.1],
[97.6, 91.4],
[118.9, 103],
[80.3, 118.8],
[85.9, 99.3],
[99.1, 107.4],
[80.3, 115.5],
[92.2, 81.6],
[114, 98.6],
[111.5, 91],
[96.6, 104.1],
[117, 111.8],
[119.8, 96.2],
[105.1, 116.6],
[80.3, 119.8],
[84.8, 118.6],
[86.4, 108],
[97, 119.5],
[106.4, 94.3],
[81.3, 96.2],
[109.9, 106],
[90.3, 99.9],
[107.5, 100.1],
[102.3, 91.3],
[111.3, 110.1],
[100.9, 97.2],
[81.4, 96.7]
];
c = [
[0, 0],
[71.6, 74],
[69.8, 53.1],
[68.6, 43.9],
[65.7, 40.2],
[79.2, 70.2],
[64.8, 56.1],
[79.2, 46.5],
[47.6, 62.6],
[46.8, 43.5],
[71.7, 54.9],
[75.8, 72.9],
[67.7, 41.7],
[76.1, 69.1],
[57.6, 51.4],
[78.9, 63],
[40.3, 78.8],
[45.9, 59.3],
[59.1, 67.4],
[40.3, 75.5],
[52.2, 41.6],
[74, 58.6],
[71.5, 51],
[56.6, 64.1],
[77, 71.8],
[79.8, 56.2],
[65.1, 76.6],
[40.3, 79.8],
[44.8, 78.6],
[46.4, 68],
[57, 79.5],
[66.4, 54.3],
[41.3, 56.2],
[69.9, 66],
[50.3, 59.9],
[67.5, 60.1],
[62.3, 51.3],
[71.3, 70.1],
[60.9, 57.2],
[41.4, 56.7]
];
pb = [
[1, 0],
[0, 1]
];
